2017-09-19 16:22:49.194,INFO,2BYTE_LOG,Client time at send: 105165843,Server time at receive:105165874,Server time at send:105165874,Client time at receive:105165921,Client to server timespan:31,Server receive to server send timespan:0,Server send to client receive timespan:47,Round trip total time:78
2017-09-19 16:22:49.194,INFO,2BYTE_LOG,Client time at send: 105165921,Server time at receive:105165921,Server time at send:105165921,Client time at receive:105165921,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.250,INFO,2BYTE_LOG,Client time at send: 105165983,Server time at receive:105165983,Server time at send:105165983,Client time at receive:105165983,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.253,INFO,2BYTE_LOG,Client time at send: 105165983,Server time at receive:105165983,Server time at send:105165983,Client time at receive:105165983,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.302,INFO,2BYTE_LOG,Client time at send: 105166030,Server time at receive:105166030,Server time at send:105166030,Client time at receive:105166030,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.304,INFO,2BYTE_LOG,Client time at send: 105166030,Server time at receive:105166030,Server time at send:105166030,Client time at receive:105166030,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.354,INFO,2BYTE_LOG,Client time at send: 105166077,Server time at receive:105166092,Server time at send:105166092,Client time at receive:105166092,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:22:49.356,INFO,2BYTE_LOG,Client time at send: 105166092,Server time at receive:105166092,Server time at send:105166092,Client time at receive:105166092,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.406,INFO,2BYTE_LOG,Client time at send: 105166139,Server time at receive:105166139,Server time at send:105166139,Client time at receive:105166139,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.408,INFO,2BYTE_LOG,Client time at send: 105166139,Server time at receive:105166139,Server time at send:105166139,Client time at receive:105166139,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:22:49.458,INFO,2BYTE_LOG,Client time at send: 105166186,Server time at receive:105166186,Server time at send:105166186,Client time at receive:105166186,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
