2017-09-19 16:26:48.325,INFO,1MB_LOG,Client time at send: 105404992,Server time at receive:105405023,Server time at send:105405023,Client time at receive:105405039,Client to server timespan:31,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:47
2017-09-19 16:26:48.334,INFO,1MB_LOG,Client time at send: 105405039,Server time at receive:105405055,Server time at send:105405055,Client time at receive:105405055,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:48.431,INFO,1MB_LOG,Client time at send: 105405148,Server time at receive:105405148,Server time at send:105405148,Client time at receive:105405164,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:48.444,INFO,1MB_LOG,Client time at send: 105405164,Server time at receive:105405164,Server time at send:105405164,Client time at receive:105405179,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:48.514,INFO,1MB_LOG,Client time at send: 105405226,Server time at receive:105405226,Server time at send:105405226,Client time at receive:105405242,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:48.529,INFO,1MB_LOG,Client time at send: 105405242,Server time at receive:105405257,Server time at send:105405257,Client time at receive:105405257,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:48.595,INFO,1MB_LOG,Client time at send: 105405304,Server time at receive:105405320,Server time at send:105405320,Client time at receive:105405320,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:48.613,INFO,1MB_LOG,Client time at send: 105405320,Server time at receive:105405335,Server time at send:105405335,Client time at receive:105405335,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:48.682,INFO,1MB_LOG,Client time at send: 105405382,Server time at receive:105405398,Server time at send:105405398,Client time at receive:105405413,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:31
2017-09-19 16:26:48.698,INFO,1MB_LOG,Client time at send: 105405413,Server time at receive:105405413,Server time at send:105405413,Client time at receive:105405429,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:48.766,INFO,1MB_LOG,Client time at send: 105405476,Server time at receive:105405476,Server time at send:105405491,Client time at receive:105405491,Client to server timespan:0,Server receive to server send timespan:15,Server send to client receive timespan:0,Round trip total time:15
2017-09-19 16:26:48.783,INFO,1MB_LOG,Client time at send: 105405491,Server time at receive:105405507,Server time at send:105405507,Client time at receive:105405507,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:48.846,INFO,1MB_LOG,Client time at send: 105405554,Server time at receive:105405569,Server time at send:105405569,Client time at receive:105405569,Client to server timespan:15,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:15
